Cycle No,Step No,Step name,Absolute time,volt(V),Current(A),Capacity(Ah),Energy(Wh),Power(mW),Internal R(Ω),Charging energy(Wh),Discharge energy(Wh),Charging capacity(Ah),Discharge capacity(Ah),SoC(%)
1,1,Rest,2025-11-08 11:53:36.910,2.998236,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:37.910,2.998235,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:38.913,2.998235,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:39.913,2.998236,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:40.914,2.998236,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:41.913,2.998234,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:42.884,2.998236,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:43.881,2.998243,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:44.885,2.998247,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:45.884,2.998241,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:46.885,2.998241,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:47.884,2.998235,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:48.889,2.998238,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:49.885,2.998241,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:50.885,2.998233,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:51.886,2.998239,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:52.885,2.998231,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:53.886,2.998233,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:54.871,2.998243,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:55.868,2.998235,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:56.870,2.998236,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:57.871,2.99823,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:58.868,2.998232,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:59.871,2.998233,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:54:00.884,2.99824,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:54:01.885,2.998242,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:54:02.884,2.998235,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:54:03.884,2.998237,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:54:04.886,2.998241,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:54:05.885,2.998245,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:54:06.866,2.998254,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,2,CCCV_Chg,2025-11-08 11:54:06.912,3.034967,22.284785,0.0,0.0,67633.587077,0.0008,0.0,0.0,0.0,0.0,0.0
1,2,CCCV_Chg,2025-11-08 11:54:07.912,3.047143,49.997606,0.013,0.042037,152349.85514,0.0008,0.042037,0.0,0.013,0.0,0.008666666666666666
1,2,CCCV_Chg,2025-11-08 11:54:08.912,3.051302,49.998891,0.027,0.084378,152561.716106,0.0008,0.084378,0.0,0.027,0.0,0.018000000000000002
1,2,CCCV_Chg,2025-11-08 11:54:09.914,3.054357,49.998851,0.041,0.126701,152714.340544,0.0008,0.1267009999999999,0.0,0.041,0.0,0.027333333333333338
1,2,CCCV_Chg,2025-11-08 11:54:10.914,3.057021,49.998478,0.055,0.169169,152846.397214,0.0008,0.169169,0.0,0.055,0.0,0.03666666666666667
1,2,CCCV_Chg,2025-11-08 11:54:11.912,3.059378,49.998967,0.069,0.211693,152965.739663,0.0008,0.211693,0.0,0.069,0.0,0.046
1,2,CCCV_Chg,2025-11-08 11:54:12.914,3.061518,49.998917,0.083,0.254138,153072.584376,0.0008,0.254138,0.0,0.083,0.0,0.05533333333333334
1,2,CCCV_Chg,2025-11-08 11:54:13.914,3.063472,49.998912,0.097,0.296677,153170.266942,0.0008,0.296677,0.0,0.097,0.0,0.06466666666666668
1,2,CCCV_Chg,2025-11-08 11:54:14.913,3.065334,49.998768,0.111,0.339206,153262.923509,0.0008,0.339206,0.0,0.111,0.0,0.074
1,2,CCCV_Chg,2025-11-08 11:54:15.913,3.067076,49.998795,0.124,0.381823,153350.104173,0.0008,0.3818229999999999,0.0,0.124,0.0,0.08266666666666667
1,2,CCCV_Chg,2025-11-08 11:54:16.913,3.068745,49.998859,0.138,0.424403,153433.748562,0.0008,0.424403,0.0,0.138,0.0,0.092
1,2,CCCV_Chg,2025-11-08 11:54:17.915,3.070352,49.998856,0.152,0.467099,153514.087517,0.0008,0.467099,0.0,0.152,0.0,0.10133333333333333
1,2,CCCV_Chg,2025-11-08 11:54:18.880,3.071884,49.998758,0.166,0.509687,153590.38472,0.0008,0.509687,0.0,0.166,0.0,0.11066666666666668
1,2,CCCV_Chg,2025-11-08 11:54:19.879,3.073371,49.998702,0.18,0.552353,153664.560764,0.0008,0.552353,0.0,0.18,0.0,0.12
