cell_id,V4,V5,I4,I5,V6,V7,I6,I7,dcir_09,dcir_02
PR_LFP_DCIR_REPT_150_0302_0_100,3.34,3.272042,-14.999115,-74.998906,3.249998,3.182586,-14.999104,-74.99897,0.0011326372786865202,0.0011235358425633823
PR_LFP_DCIR_REPT_150_0303_0_100,3.339998,3.275505,-14.9991,-74.99886,3.25,3.184776,-14.999142,-74.998945,0.0010748876328838671,0.0010870702358806105
PR_LFP_DCIR_REPT_150_0304_0_100,3.339999,3.273926,-14.999162,-74.998886,3.25,3.185168,-14.999137,-74.998934,0.0011012217322866396,0.0010805369891501466
PR_LFP_DCIR_REPT_150_0305_0_100,3.339998,3.271446,-14.99909,-74.998914,3.25,3.183714,-14.99912,-74.998883,0.0011425366847742746,0.0011047710305122345
PR_LFP_DCIR_REPT_150_0306_0_100,3.339997,3.276322,-14.999147,-74.998877,3.25,3.187147,-14.999088,-74.998922,0.0010612547756464893,0.001047552898229686
PR_LFP_DCIR_REPT_150_0307_0_100,3.34,3.261002,-14.999132,-74.99886,3.249999,3.174615,-14.999155,-74.998891,0.0013166393020981682,0.0012564055281843187
PR_LFP_DCIR_REPT_150_0308_0_100,3.339997,3.269065,-14.999124,-74.998864,3.249999,3.176166,-14.999095,-74.998957,0.001182205122888866,0.0012305528302715102
PR_LFP_DCIR_REPT_150_0309_0_100,3.339999,3.270699,-14.99911,-74.998877,3.25,3.179933,-14.999131,-74.998885,0.0011550044852674203,0.0011677881212646284
PR_LFP_DCIR_REPT_150_0310_0_100,3.339997,3.267353,-14.999101,-74.99899,3.249999,3.176436,-14.99914,-74.99887,0.0012107355731941424,0.0012260555172498285
PR_LFP_DCIR_REPT_150_0311_0_100,3.339999,3.265924,-14.999122,-74.998807,3.25,3.175777,-14.999077,-74.99891,0.0012345898149298635,0.0012370534431320824
PR_LFP_DCIR_REPT_150_0312_0_100,3.339998,3.273797,-14.999111,-74.998901,3.25,3.180835,-14.99912,-74.998946,0.0011033538617385152,0.0011527533429846932
PR_LFP_DCIR_REPT_150_0313_0_100,3.34,3.263828,-14.999102,-74.998881,3.249999,3.17162,-14.999175,-74.998921,0.0012695380094649962,0.001306322196763966
PR_LFP_DCIR_REPT_150_0314_0_100,3.34,3.262951,-14.999096,-74.99886,3.249998,3.169105,-14.999128,-74.99891,0.0012841550510098625,0.001348221565205022
PR_LFP_DCIR_REPT_150_0315_0_100,3.339998,3.265363,-14.99913,-74.998862,3.25,3.170226,-14.999108,-74.998926,0.0012439222228525992,0.0013295706996977893
PR_LFP_DCIR_REPT_150_0316_0_100,3.339997,3.265786,-14.999136,-74.998969,3.249999,3.171216,-14.999132,-74.998947,0.0012368534425754155,0.0013130540485833174
PR_LFP_DCIR_REPT_150_0317_0_100,3.339999,3.268004,-14.999114,-74.998906,3.25,3.177152,-14.999151,-74.998962,0.0011999208263922022,0.0012141371578653808
PR_LFP_DCIR_REPT_150_0318_0_100,3.339995,3.260879,-14.999111,-74.998902,3.25,3.167261,-14.999129,-74.998938,0.001318604593139332,0.0013789877231109205
PR_LFP_DCIR_REPT_150_0319_0_100,3.339999,3.275579,-14.999143,-74.998894,3.25,3.181549,-14.999164,-74.998905,0.001073671122401827,0.0011408549246904257
PR_LFP_DCIR_REPT_150_0320_0_100,3.339998,3.256678,-14.999149,-74.998899,3.25,3.167882,-14.99911,-74.998896,0.0013886724528018879,0.0013686382148096314
PR_LFP_DCIR_REPT_150_0321_0_100,3.34,3.26756,-14.999093,-74.99882,3.25,3.176356,-14.999146,-74.9989,0.0012073388267249924,0.0012274050323606296
PR_LFP_DCIR_REPT_150_0322_0_100,3.339998,3.261779,-14.999096,-74.998874,3.25,3.169768,-14.99909,-74.998927,0.001303654823522844,0.0013372036327365371
PR_LFP_DCIR_REPT_150_0323_0_100,3.339999,3.273349,-14.999096,-74.998873,3.25,3.180976,-14.999113,-74.998913,0.0011108374619459018,0.0011504038346794522
PR_LFP_DCIR_REPT_150_0324_0_100,3.339998,3.264475,-14.999124,-74.998874,3.25,3.172273,-14.999074,-74.99889,0.0012587219113412973,0.0012954539727255143
PR_LFP_DCIR_REPT_150_0325_0_100,3.339999,3.268589,-14.999109,-74.998894,3.25,3.177105,-14.999135,-74.998909,0.001190170931445841,0.0012149212428700137
PR_LFP_DCIR_REPT_150_0326_0_100,3.339999,3.264495,-14.999146,-74.99889,3.25,3.17285,-14.999111,-74.998919,0.001258405369196242,0.0012858374480131678
PR_LFP_DCIR_REPT_150_0327_0_100,3.339999,3.252923,-14.999156,-74.998903,3.249999,3.165938,-14.999091,-74.998935,0.0014512727862002511,0.001401020309319466
PR_LFP_DCIR_REPT_150_0328_0_100,3.339997,3.25927,-14.999122,-74.998871,3.249999,3.16866,-14.999125,-74.99894,0.0013454556284893792,0.0013556541799337185
PR_LFP_DCIR_REPT_150_0329_0_100,3.34,3.264731,-14.99908,-74.998817,3.249998,3.17288,-14.999122,-74.99892,0.0012544888321760481,0.0012853043271912352
PR_LFP_DCIR_REPT_150_0330_0_100,3.339998,3.2769,-14.999109,-74.999132,3.25,3.182481,-14.999164,-74.998819,0.0010516329302073784,0.001125323137274704
PR_LFP_DCIR_REPT_150_0331_0_100,3.339997,3.273421,-14.999122,-74.998896,3.25,3.177957,-14.999126,-74.998915,0.0011096041795090755,0.0012007208892017914
PR_LFP_DCIR_REPT_150_0332_0_100,3.339999,3.258771,-14.999164,-74.998872,3.25,3.168137,-14.999158,-74.998916,0.0013538065885254024,0.0013643888363683034
PR_LFP_DCIR_REPT_150_0333_0_100,3.34,3.276086,-14.999121,-74.998793,3.25,3.183056,-14.999122,-74.998916,0.0010652391566407233,0.001115737164030928
PR_LFP_DCIR_REPT_150_0334_0_100,3.339999,3.268014,-14.999132,-74.998867,3.25,3.175714,-14.999122,-74.998913,0.00119975529891924,0.0012381043127300201
PR_LFP_DCIR_REPT_150_0335_0_100,3.339999,3.271544,-14.999115,-74.998914,3.25,3.175403,-14.999168,-74.99892,0.0011409204887503066,0.0012432884722590153
PR_LFP_DCIR_REPT_150_0336_0_100,3.339998,3.262517,-14.999107,-74.99891,3.25,3.168947,-14.999102,-74.998984,0.0012913542399464236,0.0013508859900757777
PR_LFP_DCIR_REPT_150_0337_0_100,3.339997,3.259883,-14.999097,-74.99887,3.25,3.168122,-14.999116,-74.99895,0.0013352383849852235,0.0013646371088293365
PR_LFP_DCIR_REPT_150_0338_0_100,3.339997,3.269143,-14.999125,-74.99891,3.249999,3.17617,-14.999137,-74.99894,0.0011809042315734924,0.0012304873734335414
PR_LFP_DCIR_REPT_150_0339_0_100,3.339997,3.26397,-14.999118,-74.998861,3.25,3.173061,-14.999127,-74.998937,0.0012671220941729673,0.0012823207273489677
PR_LFP_DCIR_REPT_150_0340_0_100,3.34,3.276795,-14.999103,-74.998859,3.25,3.184529,-14.999093,-74.998874,0.0010534209505785317,0.0010911873161670383
PR_LFP_DCIR_REPT_150_0341_0_100,3.34,3.264894,-14.999135,-74.998851,3.25,3.172839,-14.99915,-74.998929,0.0012517725917235991,0.0012860214035121664
PR_LFP_DCIR_REPT_150_0342_0_100,3.34,3.273226,-14.999091,-74.998881,3.25,3.180216,-14.999117,-74.998936,0.0011129038951636276,0.0011630701752616927
PR_LFP_DCIR_REPT_150_0343_0_100,3.339998,3.27296,-14.999116,-74.998894,3.249999,3.18055,-14.999114,-74.998893,0.0011173041340252984,0.0011574875967459756
PR_LFP_DCIR_REPT_150_0344_0_100,3.34,3.268977,-14.999157,-74.998946,3.25,3.177885,-14.999143,-74.998991,0.0011837208294182473,0.0012019197115299383
PR_LFP_DCIR_REPT_150_0345_0_100,3.339999,3.276284,-14.999088,-74.998851,3.249999,3.183709,-14.9991,-74.998944,0.0010619208612540718,0.001104836205907468
PR_LFP_DCIR_REPT_150_0346_0_100,3.34,3.280747,-14.999116,-74.998884,3.249999,3.188254,-14.999124,-74.998982,0.0009875538185414316,0.0010290857688363148
PR_LFP_DCIR_REPT_150_0347_0_100,3.339998,3.270681,-14.999139,-74.998894,3.249997,3.175843,-14.999101,-74.998955,0.001155288050759538,0.0012359030073639855
