cell_id,cycle_no,step6_end_voltage,step7_start_voltage,step7_end_voltage,step6_max_gap_hours,gap_start_idx,gap_end_idx,gap_delta_v,step4_to_step8_duration_hours
PR_LFP_DCIR_REPT_150_0302_0_100,1,3.249998,3.231278,3.182586,0.0,,,,9.7517125
PR_LFP_DCIR_REPT_150_0303_0_100,1,3.25,3.217817,3.184776,0.0,,,,10.057889722222221
PR_LFP_DCIR_REPT_150_0304_0_100,1,3.25,3.216195,3.185168,0.0,,,,10.176947499999999
PR_LFP_DCIR_REPT_150_0305_0_100,1,3.25,3.21396,3.183714,0.0,,,,10.255351666666668
PR_LFP_DCIR_REPT_150_0306_0_100,1,3.25,3.217935,3.187147,0.0,,,,10.239656111111112
PR_LFP_DCIR_REPT_150_0307_0_100,1,3.249999,3.221762,3.174615,0.03201861111111111,24364.0,24365.0,0.01568499999999995,9.745075833333333
PR_LFP_DCIR_REPT_150_0308_0_100,1,3.249999,3.209709,3.176166,11.51576472222222,21982.0,21983.0,0.026883999999999908,21.653379444444443
PR_LFP_DCIR_REPT_150_0309_0_100,1,3.25,3.229142,3.179933,11.515789722222223,21982.0,21983.0,0.022479000000000138,21.71583888888889
PR_LFP_DCIR_REPT_150_0310_0_100,1,3.249999,3.214662,3.176436,11.515815555555555,21982.0,21983.0,0.028900999999999843,21.49536361111111
PR_LFP_DCIR_REPT_150_0311_0_100,1,3.25,3.210946,3.175777,11.515848333333333,21982.0,21983.0,0.01793800000000001,21.686061666666667
PR_LFP_DCIR_REPT_150_0312_0_100,1,3.25,3.215879,3.180835,11.518698333333333,21981.0,21982.0,0.02766599999999997,21.704665
PR_LFP_DCIR_REPT_150_0313_0_100,1,3.249999,3.22736,3.17162,11.518726944444445,21982.0,21983.0,0.027029999999999887,21.621665
PR_LFP_DCIR_REPT_150_0314_0_100,1,3.249998,3.206778,3.169105,11.518757222222222,21982.0,21983.0,0.019130999999999787,21.664076944444442
PR_LFP_DCIR_REPT_150_0315_0_100,1,3.25,3.198954,3.170226,11.518680555555555,21981.0,21982.0,0.01679800000000009,21.67664472222222
PR_LFP_DCIR_REPT_150_0316_0_100,1,3.249999,3.249195,3.171216,11.520098333333333,21981.0,21982.0,0.02816300000000016,21.714916388888888
PR_LFP_DCIR_REPT_150_0317_0_100,1,3.25,3.233825,3.177152,11.520125555555556,21981.0,21982.0,0.026656000000000013,21.710258055555556
PR_LFP_DCIR_REPT_150_0318_0_100,1,3.25,3.203404,3.167261,11.520151944444445,21981.0,21982.0,0.030631000000000075,21.395444444444447
PR_LFP_DCIR_REPT_150_0319_0_100,1,3.25,3.207453,3.181549,11.520184166666667,21981.0,21982.0,0.017973000000000017,21.52036027777778
PR_LFP_DCIR_REPT_150_0320_0_100,1,3.25,3.246786,3.167882,11.52130388888889,21980.0,21981.0,0.030594999999999928,21.396190555555552
PR_LFP_DCIR_REPT_150_0321_0_100,1,3.25,3.213122,3.176356,11.521336111111111,21981.0,21982.0,0.030191999999999997,21.50750638888889
PR_LFP_DCIR_REPT_150_0322_0_100,1,3.25,3.200143,3.169768,11.521246666666666,21981.0,21982.0,0.027175999999999867,21.694106944444446
PR_LFP_DCIR_REPT_150_0323_0_100,1,3.25,3.2165,3.180976,11.521268055555556,21981.0,21982.0,0.0195599999999998,21.51986666666667
PR_LFP_DCIR_REPT_150_0324_0_100,1,3.25,3.246125,3.172273,11.522452777777778,21982.0,21983.0,0.026724999999999888,21.730040833333334
