cell_id,cycle_no,max_gap_sec,mean_gap_sec,count_gaps
PR_LFP_DCIR_REPT_150_0302_0_100,1,2.024,1.0000128098744943,19282
PR_LFP_DCIR_REPT_150_0303_0_100,1,2.021,1.0000554719630856,19938
PR_LFP_DCIR_REPT_150_0304_0_100,1,2.022,1.000066196176523,22388
PR_LFP_DCIR_REPT_150_0305_0_100,1,2.023,1.000035269345499,22796
PR_LFP_DCIR_REPT_150_0306_0_100,1,2.006,1.0000368550368548,22792
PR_LFP_DCIR_REPT_150_0307_0_100,1,115.267,1.0122027235354574,15568
PR_LFP_DCIR_REPT_150_0308_0_100,1,41456.753,3.0342500122675298,20379
PR_LFP_DCIR_REPT_150_0309_0_100,1,41456.843,2.875492851972493,22104
PR_LFP_DCIR_REPT_150_0310_0_100,1,41456.936,3.0634561246329195,20091
PR_LFP_DCIR_REPT_150_0311_0_100,1,41457.054,3.0212925889809847,20510
PR_LFP_DCIR_REPT_150_0312_0_100,1,41467.314,2.9723552606544903,21024
PR_LFP_DCIR_REPT_150_0313_0_100,1,41467.417,3.133504167524182,19436
PR_LFP_DCIR_REPT_150_0314_0_100,1,41467.526,3.181755077343996,19006
PR_LFP_DCIR_REPT_150_0315_0_100,1,41467.25,3.081505546910296,19921
PR_LFP_DCIR_REPT_150_0316_0_100,1,41472.354,3.0832297181895814,19907
PR_LFP_DCIR_REPT_150_0317_0_100,1,41472.452,3.0527868138395284,20203
PR_LFP_DCIR_REPT_150_0318_0_100,1,41472.547,3.525698781973203,16420
PR_LFP_DCIR_REPT_150_0319_0_100,1,41472.663,3.080557016003612,19933
PR_LFP_DCIR_REPT_150_0320_0_100,1,41476.694,3.2993589644084707,18038
PR_LFP_DCIR_REPT_150_0321_0_100,1,41476.81,3.157309996879227,19226
PR_LFP_DCIR_REPT_150_0322_0_100,1,41476.488,3.198886915491465,18862
PR_LFP_DCIR_REPT_150_0323_0_100,1,41476.565,3.012325893940129,20611
PR_LFP_DCIR_REPT_150_0324_0_100,1,41480.83,3.1078189440520356,19679
PR_LFP_DCIR_REPT_150_0325_0_100,1,41480.913,3.089015964947623,19856
PR_LFP_DCIR_REPT_150_0326_0_100,1,41481.184,3.098344445568596,19768
PR_LFP_DCIR_REPT_150_0327_0_100,1,41481.286,3.528786441504603,16403
PR_LFP_DCIR_REPT_150_0328_0_100,1,41486.134,3.5213871026560515,16453
PR_LFP_DCIR_REPT_150_0329_0_100,1,41486.217,3.258848034411413,18366
PR_LFP_DCIR_REPT_150_0330_0_100,1,41486.293,2.945193604351291,21327
PR_LFP_DCIR_REPT_150_0331_0_100,1,41486.406,3.057799553571429,20160
PR_LFP_DCIR_REPT_150_0332_0_100,1,41491.338,3.4203622097771564,17142
PR_LFP_DCIR_REPT_150_0333_0_100,1,41491.439,2.891471052151714,21936
PR_LFP_DCIR_REPT_150_0334_0_100,1,41491.536,3.0314033979631807,20424
PR_LFP_DCIR_REPT_150_0335_0_100,1,41491.67,2.9030860471516378,21802
PR_LFP_DCIR_REPT_150_0336_0_100,1,41495.07,3.251355867831371,18431
PR_LFP_DCIR_REPT_150_0337_0_100,1,41495.168,3.3554369891008173,17616
PR_LFP_DCIR_REPT_150_0338_0_100,1,41495.26,3.294749806437341,18082
PR_LFP_DCIR_REPT_150_0339_0_100,1,41495.378,3.0310084185796096,20431
PR_LFP_DCIR_REPT_150_0340_0_100,1,41499.907,2.9167006604775763,21651
PR_LFP_DCIR_REPT_150_0341_0_100,1,41500.006,3.2179220244775797,18711
PR_LFP_DCIR_REPT_150_0342_0_100,1,41500.114,3.063184896092274,20114
PR_LFP_DCIR_REPT_150_0343_0_100,1,41499.815,2.9114322232969467,21711
PR_LFP_DCIR_REPT_150_0344_0_100,1,41505.012,3.3652121609300205,17548
PR_LFP_DCIR_REPT_150_0345_0_100,1,41504.711,2.9293549181851994,21512
PR_LFP_DCIR_REPT_150_0346_0_100,1,41504.806,2.774936238453644,23384
PR_LFP_DCIR_REPT_150_0347_0_100,1,41504.903,3.0576868120971734,20170
PR_LFP_DCIR_REPT_150_0348_0_100,1,41509.607,3.009097289448209,20660
PR_LFP_DCIR_REPT_150_0349_0_100,1,41509.727,3.3974574332909775,17314
PR_LFP_DCIR_REPT_150_0350_0_100,1,41509.418,2.97850185891325,20980
PR_LFP_DCIR_REPT_150_0351_0_100,1,41509.518,2.986167711373749,20899
PR_LFP_DCIR_REPT_150_0352_0_100,1,41513.148,3.1377751055721483,19418
PR_LFP_DCIR_REPT_150_0353_0_100,1,41513.233,3.034464837049743,20405
