cell_id,V4,V5,I4,I5,V6,V7,I6,I7,V8,V9,I8,I9,dcir_09,dcir_05,dcir_02
PR_LFP_DCIR_REPT_UL1974_150_0372_0_100,3.339999,3.24716,-14.99913,-74.998833,3.3,3.219704,-14.999125,-74.998998,3.249999,3.159369,-14.999119,-74.998946,0.0015473243259220817,0.0013382694993371018,0.0015105043552875574
PR_LFP_DCIR_REPT_UL1974_150_0373_0_100,3.339997,3.274851,-14.999115,-74.998901,3.299997,3.241882,-14.999125,-74.998939,3.25,3.183804,-14.999134,-74.998899,0.0010857705392482554,0.0009685863359509735,0.0011032709878113715
PR_LFP_DCIR_REPT_UL1974_150_0374_0_100,3.339999,3.262806,-14.999079,-74.998872,3.284786,3.250291,-15.005012,-74.998972,3.25,3.176514,-14.999128,-74.998947,0.001286554438612818,0.0005749745474377782,0.0012247703613905891
PR_LFP_DCIR_REPT_UL1974_150_0375_0_100,3.339998,3.247079,-14.999116,-74.998822,3.273357,3.234067,-15.005042,-74.998922,3.25,3.161122,-14.99911,-74.998942,0.0015486575884221864,0.0006549001331469115,0.00148130414765161
PR_LFP_DCIR_REPT_UL1974_150_0376_0_100,3.339998,3.271137,-14.999104,-74.998867,3.3,3.238053,-14.999157,-74.998962,3.249999,3.182424,-14.999122,-74.998964,0.0011476878667004077,0.0010324533554734046,0.001126252965799472
PR_LFP_DCIR_REPT_UL1974_150_0377_0_100,3.339998,3.276278,-14.99911,-74.998894,3.3,3.248317,-14.999154,-74.998952,3.25,3.185532,-14.999145,-74.998923,0.0010620038232137634,0.0008613862333336472,0.001074470642208046
PR_LFP_DCIR_REPT_UL1974_150_0378_0_100,3.339997,3.266644,-14.999115,-74.998881,3.2918,3.254428,-15.004944,-74.998916,3.25,3.176378,-14.999098,-74.998951,0.001222554767963595,0.0006229292502920121,0.0012270363395723628
PR_LFP_DCIR_REPT_UL1974_150_0379_0_100,3.34,3.257112,-14.999131,-74.998847,3.295296,3.24444,-15.004964,-74.998956,3.25,3.168047,-14.999125,-74.998969,0.0013814732056398413,0.0008476848815128022,0.0013658868846392323
PR_LFP_DCIR_REPT_UL1974_150_0380_0_100,3.339998,3.263604,-14.999103,-74.998865,3.299998,3.235768,-14.999146,-74.998929,3.249998,3.173253,-14.999122,-74.998891,0.0012732383838455906,0.0010705038716556654,0.0012790882578231307
PR_LFP_DCIR_REPT_UL1974_150_0381_0_100,3.34,3.26407,-14.999123,-74.998874,3.299999,3.236901,-14.999117,-74.998918,3.249998,3.175111,-14.999112,-74.998927,0.001265505251846796,0.0010516368212621255,0.0012481205150382609
PR_LFP_DCIR_REPT_UL1974_150_0382_0_100,3.339998,3.262306,-14.999115,-74.999008,3.299999,3.234484,-14.99914,-74.999004,3.25,3.171727,-14.999088,-74.998952,0.0012948689758496715,0.0010919191416833877,0.0013045529569866994
PR_LFP_DCIR_REPT_UL1974_150_0383_0_100,3.339999,3.280442,-14.999119,-74.99887,3.3,3.247505,-14.999163,-74.99896,3.25,3.188487,-14.99912,-74.998907,0.000992620786042934,0.0008749196268114034,0.001025220306198756
PR_LFP_DCIR_REPT_UL1974_150_0384_0_100,3.339998,3.270299,-14.999115,-74.998495,3.3,3.24329,-14.999125,-74.998966,3.25,3.178184,-14.99912,-74.999221,0.0011616620038407055,0.0009451691713649677,0.0011969313184989488
PR_LFP_DCIR_REPT_UL1974_150_0385_0_100,3.339995,3.280248,-14.999166,-74.998863,3.299998,3.246609,-14.999123,-74.998974,3.25,3.187804,-14.999125,-74.998913,0.0009957883620645655,0.0008898188763835451,0.001036603662666277
PR_LFP_DCIR_REPT_UL1974_150_0386_0_100,3.339998,3.271383,-14.999129,-74.99891,3.3,3.243774,-14.999115,-74.998961,3.25,3.180591,-14.999136,-74.998934,0.0011435875074277332,0.0009371024052295013,0.0011568205612958867
PR_LFP_DCIR_REPT_UL1974_150_0387_0_100,3.34,3.271311,-14.999085,-74.998908,3.299999,3.243183,-14.999156,-74.998961,3.25,3.18096,-14.999115,-74.998903,0.0011448200438857962,0.0009469364108766684,0.0011506707323699246
