cell_id,count,mean,std,min,max
PR_LFP_RPT_REPT_150_0302_0.333C_0.333D_0_100,30,1.3533333333330214e-05,4.158359535010145e-06,4.999999999810711e-06,2.0999999999826713e-05
PR_LFP_RPT_REPT_150_0303_0.333C_0.333D_0_100,30,6.333333333345218e-06,4.301830671490803e-06,0.0,1.4999999999876223e-05
PR_LFP_RPT_REPT_150_0304_0.333C_0.333D_0_100,30,6.4666666666675825e-06,4.4623585331369e-06,0.0,1.6000000000016e-05
PR_LFP_RPT_REPT_150_0305_0.333C_0.333D_0_100,30,5.399999999999849e-06,4.303967696351018e-06,0.0,1.700000000015578e-05
PR_LFP_RPT_REPT_150_0306_0.333C_0.333D_0_100,30,4.099999999995774e-06,4.459395350960303e-06,0.0,1.7999999999851468e-05
PR_LFP_RPT_REPT_150_0307_0.333C_0.333D_0_100,30,8.333333333313912e-07,1.3412123525807852e-06,0.0,5.000000000254801e-06
PR_LFP_RPT_REPT_150_0308_0.333C_0.333D_0_100,30,7.999999999933986e-07,1.2703515668109892e-06,0.0,4.999999999810711e-06
PR_LFP_RPT_REPT_150_0309_0.333C_0.333D_0_100,30,4.999999999958741e-07,6.82288239215383e-07,0.0,2.9999999999752447e-06
PR_LFP_RPT_REPT_150_0310_0.333C_0.333D_0_100,30,5.99999999995049e-07,8.136762043570783e-07,0.0,2.9999999999752447e-06
PR_LFP_RPT_REPT_150_0311_0.333C_0.333D_0_100,30,6.000000000098519e-07,1.003442351005395e-06,0.0,4.000000000115023e-06
PR_LFP_RPT_REPT_150_0312_0.333C_0.333D_0_100,30,1.100000000005726e-06,2.2644174100125684e-06,0.0,1.1999999999900979e-05
PR_LFP_RPT_REPT_150_0313_0.333C_0.333D_0_100,30,8.999999999925734e-07,1.2134305884673025e-06,0.0,4.000000000115023e-06
PR_LFP_RPT_REPT_150_0314_0.333C_0.333D_0_100,30,6.999999999942237e-07,9.523111632754087e-07,0.0,2.9999999999752447e-06
PR_LFP_RPT_REPT_150_0315_0.333C_0.333D_0_100,30,1.1333333333437187e-06,1.7366899418200165e-06,0.0,8.999999999925734e-06
PR_LFP_RPT_REPT_150_0316_0.333C_0.333D_0_100,30,8.333333333461941e-07,1.3412123525941058e-06,0.0,7.000000000090267e-06
PR_LFP_RPT_REPT_150_0317_0.333C_0.333D_0_100,30,7.000000000090267e-07,7.943767889282902e-07,0.0,2.9999999999752447e-06
PR_LFP_RPT_REPT_150_0318_0.333C_0.333D_0_100,30,8.999999999925734e-07,1.5613875350030635e-06,0.0,5.999999999950489e-06
PR_LFP_RPT_REPT_150_0319_0.333C_0.333D_0_100,30,1.4666666666792358e-06,2.7509663923995104e-06,0.0,1.3000000000040757e-05
PR_LFP_RPT_REPT_150_0320_0.333C_0.333D_0_100,30,5.99999999995049e-07,1.1626367179383755e-06,0.0,4.999999999810711e-06
PR_LFP_RPT_REPT_150_0321_0.333C_0.333D_0_100,30,4.666666666578815e-07,6.814453874514418e-07,0.0,2.000000000279556e-06
PR_LFP_RPT_REPT_150_0322_0.333C_0.333D_0_100,30,4.666666666726845e-07,6.288102248657973e-07,0.0,2.000000000279556e-06
PR_LFP_RPT_REPT_150_0323_0.333C_0.333D_0_100,30,5.333333333338668e-07,6.814453875038763e-07,0.0,3.000000000419334e-06
PR_LFP_RPT_REPT_150_0324_0.333C_0.333D_0_100,30,1.366666666665258e-06,1.828572711388982e-06,0.0,7.999999999785956e-06
PR_LFP_RPT_REPT_150_0325_0.333C_0.333D_0_100,30,2.133333333335467e-06,4.0149147226122245e-06,0.0,1.4999999999876223e-05
PR_LFP_RPT_REPT_150_0326_0.333C_0.333D_0_100,30,7.333333333322163e-07,9.80265035705629e-07,0.0,4.000000000115023e-06
PR_LFP_RPT_REPT_150_0327_0.333C_0.333D_0_100,30,7.333333333322163e-07,8.276819868018165e-07,0.0,2.9999999999752447e-06
PR_LFP_RPT_REPT_150_0328_0.333C_0.333D_0_100,30,6.000000000098519e-07,7.239737088171788e-07,0.0,2.9999999999752447e-06
PR_LFP_RPT_REPT_150_0329_0.333C_0.333D_0_100,30,7.66666666670209e-07,1.2228664272194447e-06,0.0,5.999999999950489e-06
PR_LFP_RPT_REPT_150_0330_0.333C_0.333D_0_100,30,9.000000000073763e-07,1.2689936278733281e-06,0.0,5.000000000254801e-06
PR_LFP_RPT_REPT_150_0331_0.333C_0.333D_0_100,30,6.999999999942237e-07,8.366600265210707e-07,0.0,2.9999999999752447e-06
PR_LFP_RPT_REPT_150_0332_0.333C_0.333D_0_100,30,7.000000000090267e-07,8.366600265448645e-07,0.0,2.9999999999752447e-06
PR_LFP_RPT_REPT_150_0333_0.333C_0.333D_0_100,30,8.666666666693838e-07,9.732042112208897e-07,0.0,3.9999999996709334e-06
PR_LFP_RPT_REPT_150_0334_0.333C_0.333D_0_100,30,1.0000000000065511e-06,1.4142135623975194e-06,0.0,5.999999999950489e-06
PR_LFP_RPT_REPT_150_0335_0.333C_0.333D_0_100,30,9.33333333330566e-07,1.1724814043923873e-06,0.0,4.999999999810711e-06
