cell_file,Point,Target time,Recorded time,volt(V),% change vs end
PR_LFP_SelfDischarge_REPT_150_0302_0_100,End of charge,2025-11-09 11:59:44.524,2025-11-09 11:59:44.524,3.650013,0.0
PR_LFP_SelfDischarge_REPT_150_0302_0_100,End + 5 min,2025-11-09 12:04:44.524,2025-11-09 12:04:45.146,3.548047,-2.7935790913621403
PR_LFP_SelfDischarge_REPT_150_0302_0_100,End + 1 hr,2025-11-09 12:59:44.524,2025-11-09 12:59:44.868,3.492677,-4.310559989786335
PR_LFP_SelfDischarge_REPT_150_0302_0_100,End + 24 hr,2025-11-10 11:59:44.524,2025-11-10 11:59:44.908,3.460298,-5.197652720688942
PR_LFP_SelfDischarge_REPT_150_0303_0_100,End of charge,2025-11-09 12:07:36.226,2025-11-09 12:07:36.226,3.650017,0.0
PR_LFP_SelfDischarge_REPT_150_0303_0_100,End + 5 min,2025-11-09 12:12:36.226,2025-11-09 12:12:36.262,3.542483,-2.946123264631377
PR_LFP_SelfDischarge_REPT_150_0303_0_100,End + 1 hr,2025-11-09 13:07:36.226,2025-11-09 13:07:37.145,3.472933,-4.851593841891702
PR_LFP_SelfDischarge_REPT_150_0303_0_100,End + 24 hr,2025-11-10 12:07:36.226,2025-11-10 12:07:36.530,3.432506,-5.959177724377722
PR_LFP_SelfDischarge_REPT_150_0304_0_100,End of charge,2025-11-09 12:10:08.994,2025-11-09 12:10:08.994,3.650018,0.0
PR_LFP_SelfDischarge_REPT_150_0304_0_100,End + 5 min,2025-11-09 12:15:08.994,2025-11-09 12:15:09.885,3.536388,-3.113135332483295
PR_LFP_SelfDischarge_REPT_150_0304_0_100,End + 1 hr,2025-11-09 13:10:08.994,2025-11-09 13:10:09.921,3.470296,-4.923866128879375
PR_LFP_SelfDischarge_REPT_150_0304_0_100,End + 24 hr,2025-11-10 12:10:08.994,2025-11-10 12:10:09.433,3.422211,-6.241256892431771
PR_LFP_SelfDischarge_REPT_150_0305_0_100,End of charge,2025-11-09 12:12:23.996,2025-11-09 12:12:23.996,3.650016,0.0
PR_LFP_SelfDischarge_REPT_150_0305_0_100,End + 5 min,2025-11-09 12:17:23.996,2025-11-09 12:17:24.677,3.538764,-3.047986638962676
PR_LFP_SelfDischarge_REPT_150_0305_0_100,End + 1 hr,2025-11-09 13:12:23.996,2025-11-09 13:12:24.550,3.462833,-5.128278889736376
PR_LFP_SelfDischarge_REPT_150_0305_0_100,End + 24 hr,2025-11-10 12:12:23.996,2025-11-10 12:12:24.325,3.411479,-6.535231626381911
PR_LFP_SelfDischarge_REPT_150_0306_0_100,End of charge,2025-11-09 12:10:23.180,2025-11-09 12:10:23.180,3.65002,0.0
PR_LFP_SelfDischarge_REPT_150_0306_0_100,End + 5 min,2025-11-09 12:15:23.180,2025-11-09 12:15:24.086,3.540468,-3.001408211461851
PR_LFP_SelfDischarge_REPT_150_0306_0_100,End + 1 hr,2025-11-09 13:10:23.180,2025-11-09 13:10:24.087,3.481899,-4.606029556002438
PR_LFP_SelfDischarge_REPT_150_0306_0_100,End + 24 hr,2025-11-10 12:10:23.180,2025-11-10 12:10:23.961,3.442853,-5.675777119029488
PR_LFP_SelfDischarge_REPT_150_0307_0_100,End of charge,2025-11-14 15:55:58.617,2025-11-14 15:55:58.617,3.650028,0.0
PR_LFP_SelfDischarge_REPT_150_0307_0_100,End + 5 min,2025-11-14 16:00:58.617,2025-11-14 16:00:59.476,3.535953,-3.1253184907074605
PR_LFP_SelfDischarge_REPT_150_0307_0_100,End + 1 hr,2025-11-14 16:55:58.617,2025-11-14 16:55:59.388,3.447306,-5.553984791349536
PR_LFP_SelfDischarge_REPT_150_0307_0_100,End + 24 hr,2025-11-15 15:55:58.617,2025-11-15 15:55:58.756,3.390371,-7.113835839067531
PR_LFP_SelfDischarge_REPT_150_0308_0_100,End of charge,2025-11-14 16:01:45.932,2025-11-14 16:01:45.932,3.650014,0.0
PR_LFP_SelfDischarge_REPT_150_0308_0_100,End + 5 min,2025-11-14 16:06:45.932,2025-11-14 16:06:45.973,3.540209,-3.008344625527468
PR_LFP_SelfDischarge_REPT_150_0308_0_100,End + 1 hr,2025-11-14 17:01:45.932,2025-11-14 17:01:46.175,3.465554,-5.053679246161797
PR_LFP_SelfDischarge_REPT_150_0308_0_100,End + 24 hr,2025-11-15 16:01:45.932,2025-11-15 16:01:46.144,3.413296,-6.48539978202824
PR_LFP_SelfDischarge_REPT_150_0309_0_100,End of charge,2025-11-14 16:02:34.938,2025-11-14 16:02:34.938,3.65002,0.0
PR_LFP_SelfDischarge_REPT_150_0309_0_100,End + 5 min,2025-11-14 16:07:34.938,2025-11-14 16:07:35.084,3.539353,-3.0319559892822463
PR_LFP_SelfDischarge_REPT_150_0309_0_100,End + 1 hr,2025-11-14 17:02:34.938,2025-11-14 17:02:34.999,3.464716,-5.076794099758355
PR_LFP_SelfDischarge_REPT_150_0309_0_100,End + 24 hr,2025-11-15 16:02:34.938,2025-11-15 16:02:35.104,3.41371,-6.474211100213149
PR_LFP_SelfDischarge_REPT_150_0310_0_100,End of charge,2025-11-14 15:59:56.044,2025-11-14 15:59:56.044,3.650019,0.0
PR_LFP_SelfDischarge_REPT_150_0310_0_100,End + 5 min,2025-11-14 16:04:56.044,2025-11-14 16:04:56.669,3.537052,-3.0949701905661264
PR_LFP_SelfDischarge_REPT_150_0310_0_100,End + 1 hr,2025-11-14 16:59:56.044,2025-11-14 16:59:56.869,3.451511,-5.438547032220926
