,cell_id,cycle_no,abs_max_capacity_cc_dchg,cell_suffix,DCIR_Discharge_mOhm,DCIR_Charge_mOhm,cluster
0,C_LFP_REPT_1_150_0001,1,151.684,0001,1.027,0.888,0.0
1,C_LFP_REPT_1_150_0001,2,151.653,0001,1.027,0.888,0.0
2,C_LFP_REPT_1_150_0001,3,151.632,0001,1.027,0.888,0.0
3,C_LFP_REPT_1_150_0001,4,151.606,0001,1.027,0.888,0.0
4,C_LFP_REPT_1_150_0001,5,151.569,0001,1.027,0.888,0.0
5,C_LFP_REPT_1_150_0002,1,151.381,0002,,,
6,C_LFP_REPT_1_150_0002,2,151.361,0002,,,
7,C_LFP_REPT_1_150_0002,3,151.342,0002,,,
8,C_LFP_REPT_1_150_0002,4,151.317,0002,,,
9,C_LFP_REPT_1_150_0002,5,151.288,0002,,,
10,C_LFP_REPT_1_150_0003,1,152.511,0003,0.942,0.811,0.0
11,C_LFP_REPT_1_150_0003,2,152.504,0003,0.942,0.811,0.0
12,C_LFP_REPT_1_150_0003,3,152.505,0003,0.942,0.811,0.0
13,C_LFP_REPT_1_150_0003,4,152.5,0003,0.942,0.811,0.0
14,C_LFP_REPT_1_150_0003,5,152.485,0003,0.942,0.811,0.0
15,C_LFP_REPT_1_150_0004,1,153.544,0004,0.933,0.802,0.0
16,C_LFP_REPT_1_150_0004,2,153.502,0004,0.933,0.802,0.0
17,C_LFP_REPT_1_150_0004,3,153.476,0004,0.933,0.802,0.0
18,C_LFP_REPT_1_150_0004,4,153.427,0004,0.933,0.802,0.0
19,C_LFP_REPT_1_150_0004,5,153.389,0004,0.933,0.802,0.0
20,C_LFP_REPT_1_150_0005,1,151.143,0005,,,
21,C_LFP_REPT_1_150_0005,2,151.097,0005,,,
22,C_LFP_REPT_1_150_0005,3,151.065,0005,,,
23,C_LFP_REPT_1_150_0005,4,151.049,0005,,,
24,C_LFP_REPT_1_150_0005,5,151.014,0005,,,
25,C_LFP_REPT_1_150_0006,1,151.811,0006,,,
26,C_LFP_REPT_1_150_0006,2,151.777,0006,,,
27,C_LFP_REPT_1_150_0006,3,151.747,0006,,,
28,C_LFP_REPT_1_150_0006,4,151.734,0006,,,
29,C_LFP_REPT_1_150_0006,5,151.701,0006,,,
30,C_LFP_REPT_1_150_0007,1,148.166,0007,1.126,0.995,1.0
31,C_LFP_REPT_1_150_0007,2,148.185,0007,1.126,0.995,1.0
32,C_LFP_REPT_1_150_0007,3,148.165,0007,1.126,0.995,1.0
33,C_LFP_REPT_1_150_0007,4,148.152,0007,1.126,0.995,1.0
34,C_LFP_REPT_1_150_0007,5,148.17,0007,1.126,0.995,1.0
35,C_LFP_REPT_1_150_0008,1,152.796,0008,,,
36,C_LFP_REPT_1_150_0008,2,152.779,0008,,,
37,C_LFP_REPT_1_150_0008,3,152.732,0008,,,
38,C_LFP_REPT_1_150_0008,4,152.702,0008,,,
39,C_LFP_REPT_1_150_0008,5,152.66,0008,,,
40,C_LFP_REPT_1_150_0009,1,152.594,0009,,,
41,C_LFP_REPT_1_150_0009,2,152.583,0009,,,
42,C_LFP_REPT_1_150_0009,3,152.581,0009,,,
43,C_LFP_REPT_1_150_0009,4,152.61,0009,,,
44,C_LFP_REPT_1_150_0009,5,152.589,0009,,,
45,C_LFP_REPT_1_150_0010,1,152.911,0010,,,
46,C_LFP_REPT_1_150_0010,2,152.888,0010,,,
47,C_LFP_REPT_1_150_0010,3,152.844,0010,,,
48,C_LFP_REPT_1_150_0010,4,152.846,0010,,,
49,C_LFP_REPT_1_150_0010,5,152.815,0010,,,
50,C_LFP_REPT_1_150_0011,1,153.285,0011,0.936,0.798,0.0
51,C_LFP_REPT_1_150_0011,2,153.243,0011,0.936,0.798,0.0
52,C_LFP_REPT_1_150_0011,3,153.197,0011,0.936,0.798,0.0
53,C_LFP_REPT_1_150_0011,4,153.204,0011,0.936,0.798,0.0
54,C_LFP_REPT_1_150_0011,5,153.182,0011,0.936,0.798,0.0
55,C_LFP_REPT_1_150_0012,1,148.781,0012,0.909,0.782,0.0
56,C_LFP_REPT_1_150_0012,2,148.791,0012,0.909,0.782,0.0
57,C_LFP_REPT_1_150_0012,3,148.787,0012,0.909,0.782,0.0
58,C_LFP_REPT_1_150_0012,4,148.792,0012,0.909,0.782,0.0
59,C_LFP_REPT_1_150_0012,5,148.783,0012,0.909,0.782,0.0
60,C_LFP_REPT_1_150_0013,1,151.824,0013,,,
61,C_LFP_REPT_1_150_0013,2,151.834,0013,,,
62,C_LFP_REPT_1_150_0013,3,151.831,0013,,,
63,C_LFP_REPT_1_150_0013,4,151.874,0013,,,
64,C_LFP_REPT_1_150_0013,5,151.868,0013,,,
65,C_LFP_REPT_1_150_0014,1,152.055,0014,,,
66,C_LFP_REPT_1_150_0014,2,152.065,0014,,,
